0,000 15,862
0,010 14,940
0,020 14,142
0,030 13,448
0,040 12,844
0,050 12,319
0,060 11,862
0,070 11,465
0,080 11,122
0,090 10,827
0,100 10,576
0,110 10,366
0,120 10,192
0,130 10,053
0,140 9,946
0,150 9,871
0,160 9,826
0,170 9,810
0,180 9,824
0,190 9,866
0,200 9,939
0,210 10,041
0,220 10,175
0,230 10,342
0,240 10,544
0,250 10,783
0,260 11,063
0,270 11,386
0,280 11,757
0,290 12,181
0,300 12,665
0,310 13,216
0,320 13,843
0,330 14,556
0,340 15,368
0,350 16,295
0,360 17,356
0,370 18,574
0,380 19,979
0,390 21,607
0,400 23,504
0,410 25,727
0,420 28,352
0,430 31,477
0,440 35,232
0,450 39,790
0,460 45,389
0,470 52,362
0,480 61,180
0,490 72,534
0,500 87,463
0,510 107,582
0,520 135,503
0,530 175,656
0,540 235,976
0,550 331,709
0,560 494,772
0,570 799,869
